"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4102","Should filter products by query Case: query has not exist title of product, brand, category","","Thu Mar 19 18:15:04 UTC 2026","passed","Thu Mar 19 18:15:08 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductByQueryInProductsPageTest"
"","5566","Check should sign in with correct credentials","","Thu Mar 19 18:12:57 UTC 2026","passed","Thu Mar 19 18:13:03 UTC 2026","","[API] Auth test","com.automationexercise.tests.test.api.AuthApiTest","shouldSignInWithCorrectCredentialsTest"
"","108","Should return NOT_FOUND if deleting user email unknown","","Thu Mar 19 18:13:06 UTC 2026","passed","Thu Mar 19 18:13:06 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldReturnNotFoundIfDeletingUserEmailUnknownTest"
"","5176","Should not sign in with removed user credentials","","Thu Mar 19 18:13:37 UTC 2026","passed","Thu Mar 19 18:13:42 UTC 2026","","[WEB] Login tests","com.automationexercise.tests.test.web.LoginWebTest","shouldNotSignInWithRemovedUserCredentialsTest"
"","6055","Should visible empty cart list if products not added to cart","","Thu Mar 19 18:13:07 UTC 2026","passed","Thu Mar 19 18:13:13 UTC 2026","","[WEB] Cart page tests","com.automationexercise.tests.test.web.CartWebTest","shouldVisibleEmptyListIfProductsNotAddedToCartTest"
"","3614","Should have expected screenshot product card overlay in [Products] page","","Thu Mar 19 18:15:58 UTC 2026","passed","Thu Mar 19 18:16:02 UTC 2026","","[Screenshot] Product screenshot tests","com.automationexercise.tests.test.web.screenshot.ProductScreenshotTest","shouldHaveExpectedProductCardOverlayScreenshotInProductsPageTest"
"","105","Should return BAD_REQUEST if provide invalid data Case: email is empty","","Thu Mar 19 18:13:07 UTC 2026","failed","Thu Mar 19 18:13:07 UTC 2026","","[API] Verify Login test","com.automationexercise.tests.test.api.VerifyLoginApiTest","shouldReturnBadRequestIfCredentialsIsInvalidTest"
"","4778","Should have valid product price in main page","","Thu Mar 19 18:15:09 UTC 2026","passed","Thu Mar 19 18:15:14 UTC 2026","","[WEB] Products tests","com.automationexercise.tests.test.web.ProductWebTest","shouldHaveValidPriceTest"
"","10731","Success subscribe message should have expected text after sending contact form","","Thu Mar 19 18:15:26 UTC 2026","failed","Thu Mar 19 18:15:36 UTC 2026","","[WEB] Subscription test","com.automationexercise.tests.test.web.SubscriptionWebTest","shouldVisibleCorrectSuccessSubscriptionStatusAfterSendingContactFormTest"
"","115","Should not create user if mandatory param is missing Case: field [lastname] is not provided","","Thu Mar 19 18:13:05 UTC 2026","passed","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","117","Should not create user if mandatory param is missing Case: field [password] is not provided","","Thu Mar 19 18:13:06 UTC 2026","passed","Thu Mar 19 18:13:06 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","5082","Should image carousel show next slide","","Thu Mar 19 18:15:36 UTC 2026","passed","Thu Mar 19 18:15:42 UTC 2026","","[Screenshot] Image carousel tests","com.automationexercise.tests.test.web.screenshot.ImageCarouselScreenshotTest","shouldShowNextSlideTest"
"","140","Should not create user if mandatory param is missing Case: field [city] is not provided","","Thu Mar 19 18:13:05 UTC 2026","passed","Thu Mar 19 18:13:06 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","0","Should create user with valid sensitive data","","Thu Mar 19 18:13:05 UTC 2026","skipped","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldCreateUserWithValidSensitiveDataTest"
"","5706","Should add product to cart in product page","","Thu Mar 19 18:15:08 UTC 2026","passed","Thu Mar 19 18:15:14 UTC 2026","","[WEB] Products tests","com.automationexercise.tests.test.web.ProductWebTest","shouldAddProductToCartInProductPageTest"
"","7978","Should visible empty cart list if all products was removed from cart","","Thu Mar 19 18:13:07 UTC 2026","passed","Thu Mar 19 18:13:15 UTC 2026","","[WEB] Cart page tests","com.automationexercise.tests.test.web.CartWebTest","shouldVisibleEmptyListIfAllProductsRemovedTest"
"","3523","Should have expected screenshot of product card in [Main] page","","Thu Mar 19 18:15:58 UTC 2026","passed","Thu Mar 19 18:16:02 UTC 2026","","[Screenshot] Product screenshot tests","com.automationexercise.tests.test.web.screenshot.ProductScreenshotTest","shouldHaveExpectedProductCardScreenshotInMainPageTest"
"","216","Should not create user if mandatory param is missing Case: field [zipcode] is not provided","","Thu Mar 19 18:13:06 UTC 2026","passed","Thu Mar 19 18:13:06 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","6853","Should scroll to top on [Products] page","","Thu Mar 19 18:13:42 UTC 2026","passed","Thu Mar 19 18:13:49 UTC 2026","","[Screenshot] Page scroller test","com.automationexercise.tests.test.web.PageScrollerWebTest","shouldScrollToTopOnProductsPageTest"
"","5751","Should not exist removed position from cart in [Checkout] page","","Thu Mar 19 18:13:23 UTC 2026","passed","Thu Mar 19 18:13:28 UTC 2026","","[WEB] Checkout page test","com.automationexercise.tests.test.web.CheckoutWebTest","shouldExcludeProductPositionInCheckoutPageIfProductWasRemovedFromCartTest"
"","606","Should return FALSE if password is invalid","","Thu Mar 19 18:13:07 UTC 2026","passed","Thu Mar 19 18:13:07 UTC 2026","","[API] Verify Login test","com.automationexercise.tests.test.api.VerifyLoginApiTest","shouldReturnFalseIfUserExistsWithValidCredentialsTest"
"","109","Should return BAD_REQUEST if provide invalid data Case: email not present","","Thu Mar 19 18:13:07 UTC 2026","passed","Thu Mar 19 18:13:07 UTC 2026","","[API] Verify Login test","com.automationexercise.tests.test.api.VerifyLoginApiTest","shouldReturnBadRequestIfCredentialsIsInvalidTest"
"","111","Should not create user if mandatory param is missing Case: field [country] is not provided","","Thu Mar 19 18:13:05 UTC 2026","passed","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","3920","Should filter products by query Case: query has full product title","","Thu Mar 19 18:15:05 UTC 2026","passed","Thu Mar 19 18:15:08 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductByQueryInProductsPageTest"
"","0","Should not create user with invalid password","","Thu Mar 19 18:13:04 UTC 2026","skipped","Thu Mar 19 18:13:04 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserWithInvalidPasswordTest"
"","6846","Should image carousel show previous slide","","Thu Mar 19 18:15:36 UTC 2026","passed","Thu Mar 19 18:15:43 UTC 2026","","[Screenshot] Image carousel tests","com.automationexercise.tests.test.web.screenshot.ImageCarouselScreenshotTest","shouldShowPreviousSlideTest"
"","748","Should get user if user exists","","Thu Mar 19 18:13:04 UTC 2026","failed","Thu Mar 19 18:13:04 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldGetUserIfUserExistsTest"
"","189","Should return NOT_FOUND if updating user email unknown","","Thu Mar 19 18:13:04 UTC 2026","passed","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldReturnNotFoundIfUpdatingUserEmailUnknownTest"
"","5303","Check should not sign in with invalid credentials","","Thu Mar 19 18:12:57 UTC 2026","passed","Thu Mar 19 18:13:03 UTC 2026","","[API] Auth test","com.automationexercise.tests.test.api.AuthApiTest","shouldNotSignInWithInvalidCredentialsTest"
"","201","Should filter products","","Thu Mar 19 18:13:03 UTC 2026","passed","Thu Mar 19 18:13:04 UTC 2026","","[API] Products test","com.automationexercise.tests.test.api.ProductApiTest","shouldFilterProductsTest"
"","5996","Should filter products by query Case: query has full brand title","","Thu Mar 19 18:14:58 UTC 2026","passed","Thu Mar 19 18:15:04 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductByQueryInProductsPageTest"
"","6008","Should filter products by brand in main page","","Thu Mar 19 18:14:52 UTC 2026","passed","Thu Mar 19 18:14:58 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductsByBrandInMainPageTest"
"","5444","Should have expected screenshot product card overlay in [Main] page","","Thu Mar 19 18:15:53 UTC 2026","passed","Thu Mar 19 18:15:58 UTC 2026","","[Screenshot] Product screenshot tests","com.automationexercise.tests.test.web.screenshot.ProductScreenshotTest","shouldHaveExpectedProductCardOverlayScreenshotInMainPageTest"
"","5118","Should not sign in with invalid password","","Thu Mar 19 18:13:37 UTC 2026","passed","Thu Mar 19 18:13:42 UTC 2026","","[WEB] Login tests","com.automationexercise.tests.test.web.LoginWebTest","shouldNotSignInWithInvalidPasswordTest"
"","5218","Should not sign in with invalid email","","Thu Mar 19 18:13:37 UTC 2026","passed","Thu Mar 19 18:13:42 UTC 2026","","[WEB] Login tests","com.automationexercise.tests.test.web.LoginWebTest","shouldNotSignInWithInvalidEmailTest"
"","517","Should create user with valid data","","Thu Mar 19 18:13:04 UTC 2026","passed","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldCreateUserWithValidDataTest"
"","5355","Should filter products by query Case: query has partial category title","","Thu Mar 19 18:14:46 UTC 2026","passed","Thu Mar 19 18:14:52 UTC 2026","","[WEB] Product filter tests","com.automationexercise.tests.test.web.ProductFilterWebTest","shouldFilterProductByQueryInProductsPageTest"
"","143","Should not create user if mandatory param is missing Case: field [firstname] is not provided","","Thu Mar 19 18:13:05 UTC 2026","passed","Thu Mar 19 18:13:05 UTC 2026","","[API] Users test","com.automationexercise.tests.test.api.UserApiTest","shouldNotCreateUserIfMandatoryParamIsMissingTest"
"","101","Should return FALSE if user with expected email not exists","","Thu Mar 19 18:13:07 UTC 2026","passed","Thu Mar 19 18:13:07 UTC 2026","","[API] Verify Login test","com.automationexercise.tests.test.api.VerifyLoginApiTest","shouldReturnFalseIfUserExistsWithValidCredentialsTest"
